coll	mtype	dt	op	count	size_bytes	time_avg_us	time_min_us	time_max_us	bus_bw_avg_gbs	bus_bw_min_gbs	bus_bw_max_gbs	eff_bw_gbs
reduce	cuda	float64	max	2048	16384	12.07	12.07	12.07	1.36	1.36	1.36	1.36
reduce	cuda	float64	max	4096	32768	14.43	14.43	14.43	2.27	2.27	2.27	2.27
reduce	cuda	float64	max	8192	65536	12.14	12.14	12.14	5.40	5.40	5.40	5.40
reduce	cuda	float64	max	16384	131072	12.16	12.16	12.16	10.78	10.78	10.78	10.78
reduce	cuda	float64	max	32768	262144	11.85	11.85	11.85	22.12	22.12	22.12	22.12
reduce	cuda	float64	max	65536	524288	10.77	10.77	10.77	48.70	48.70	48.70	48.68
reduce	cuda	float64	max	131072	1048576	10.86	10.86	10.86	96.55	96.55	96.55	96.55
reduce	cuda	float64	max	262144	2097152	10.94	10.94	10.94	191.78	191.78	191.78	191.70
reduce	cuda	float64	max	524288	4194304	11.96	11.96	11.96	350.55	350.55	350.55	350.69
reduce	cuda	float64	max	1048576	8388608	13.09	13.09	13.09	641.09	641.09	641.09	640.84
reduce	cuda	float64	max	2097152	16777216	17.08	17.08	17.08	982.27	982.27	982.27	982.27
reduce	cuda	float64	max	4194304	33554432	33.51	33.51	33.51	1001.33	1001.33	1001.33	1001.33
reduce	cuda	float64	max	8388608	67108864	55.21	55.21	55.21	1215.52	1215.52	1215.52	1215.52
reduce	cuda	float64	max	16777216	134217728	98.31	98.31	98.31	1365.18	1365.18	1365.18	1365.25
reduce	cuda	float64	max	33554432	268435456	186.49	186.49	186.49	1439.45	1439.45	1439.45	1439.41
reduce	cuda	float64	max	67108864	536870912	364.73	364.73	364.73	1471.97	1471.97	1471.97	1471.97
reduce	cuda	int32	sum	1024	4096	12.40	12.40	12.40	0.33	0.33	0.33	0.33
reduce	cuda	int32	sum	2048	8192	12.10	12.10	12.10	0.68	0.68	0.68	0.68
reduce	cuda	int32	sum	4096	16384	12.08	12.08	12.08	1.36	1.36	1.36	1.36
reduce	cuda	int32	sum	8192	32768	12.10	12.10	12.10	2.71	2.71	2.71	2.71
reduce	cuda	int32	sum	16384	65536	12.11	12.11	12.11	5.41	5.41	5.41	5.41
reduce	cuda	int32	sum	32768	131072	12.18	12.18	12.18	10.76	10.76	10.76	10.76
reduce	cuda	int32	sum	65536	262144	12.14	12.14	12.14	21.58	21.58	21.58	21.59
reduce	cuda	int32	sum	131072	524288	12.29	12.29	12.29	42.64	42.64	42.64	42.66
reduce	cuda	int32	sum	262144	1048576	12.27	12.27	12.27	85.46	85.46	85.46	85.46
reduce	cuda	int32	sum	524288	2097152	12.43	12.43	12.43	168.72	168.72	168.72	168.72
reduce	cuda	int32	sum	1048576	4194304	13.54	13.54	13.54	309.66	309.66	309.66	309.77
reduce	cuda	int32	sum	2097152	8388608	14.61	14.61	14.61	574.17	574.17	574.17	574.17
reduce	cuda	int32	sum	4194304	16777216	18.79	18.79	18.79	892.88	892.88	892.88	892.88
reduce	cuda	int32	sum	8388608	33554432	34.94	34.94	34.94	960.48	960.48	960.48	960.34
reduce	cuda	int32	sum	16777216	67108864	56.74	56.74	56.74	1182.74	1182.74	1182.74	1182.74
reduce	cuda	int32	sum	33554432	134217728	100.39	100.39	100.39	1337.03	1337.03	1337.03	1336.96
reduce	cuda	int32	sum	67108864	268435456	188.94	188.94	188.94	1420.78	1420.78	1420.78	1420.74
reduce	cuda	int32	prod	1024	4096	11.98	11.98	11.98	0.34	0.34	0.34	0.34
reduce	cuda	int32	prod	2048	8192	11.91	11.91	11.91	0.69	0.69	0.69	0.69
