op_type	dt	op	n_bufs	count	time_us	gb_s
reducedt	int64	max	2	33554432	26481.53	30.41
reducedt	int64	max	2	67108864	57638.64	27.94
reducedt	int64	max	8	1024	2.73	27.00
reducedt	int64	max	8	2048	4.58	32.18
reducedt	int64	max	8	4096	11.32	26.04
reducedt	int64	max	8	8192	19.82	29.75
reducedt	int64	max	8	16384	39.54	29.84
reducedt	int64	max	8	32768	78.34	30.11
reducedt	int64	max	8	65536	161.29	29.25
reducedt	int64	max	8	131072	337.26	27.98
reducedt	int64	max	8	262144	694.82	27.16
reducedt	int64	max	8	524288	1078.36	35.01
reducedt	int64	max	8	1048576	1461.43	51.66
reducedt	int64	max	8	2097152	2870.66	52.60
reducedt	int64	max	8	4194304	5760.44	52.42
reducedt	int64	max	8	8388608	11523.56	52.41
reducedt	int64	max	8	16777216	23201.6	52.06
reducedt	int64	max	8	33554432	46383.78	52.09
reducedt	int64	max	8	67108864	92350.72	52.32
reducedt_strided	float32	sum	2	1024	0.21	57.69
reducedt_strided	float32	sum	2	2048	0.36	68.46
reducedt_strided	float32	sum	2	4096	0.81	60.53
reducedt_strided	float32	sum	2	8192	2.07	47.44
reducedt_strided	float32	sum	2	16384	4.26	46.20
reducedt_strided	float32	sum	2	32768	7.32	53.73
reducedt_strided	float32	sum	2	65536	10.5	74.90
reducedt_strided	float32	sum	2	131072	19.67	79.96
reducedt_strided	float32	sum	2	262144	39.3	80.04
reducedt_strided	float32	sum	2	524288	122.44	51.38
reducedt_strided	float32	sum	2	1048576	294.36	42.75
reducedt_strided	float32	sum	2	2097152	508.55	49.49
reducedt_strided	float32	sum	2	4194304	1006.04	50.03
reducedt_strided	float32	sum	2	8388608	1616.05	62.29
reducedt_strided	float32	sum	2	16777216	2498.47	80.58
reducedt_strided	float32	sum	2	33554432	10195.67	39.49
reducedt_strided	float32	sum	2	67108864	26061.47	30.90
reducedt_strided	float32	sum	8	1024	0.51	73.00
reducedt_strided	float32	sum	8	2048	1.61	45.77
reducedt_strided	float32	sum	8	4096	3.54	41.71
reducedt_strided	float32	sum	8	8192	6.15	47.92
reducedt_strided	float32	sum	8	16384	9.85	59.86
reducedt_strided	float32	sum	8	32768	19.39	60.85
reducedt_strided	float32	sum	8	65536	38.23	61.71
reducedt_strided	float32	sum	8	131072	76.64	61.56
